rowid,kepid,is_exoplanet,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1,10797460,1,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793,93.59,35.8,1,q1_q17_dr25_tce,5455,4.467,0.927,291.93423,48.141651,15.347
2,10797460,1,54.4183827,162.51384,0.586,4.507,874.8,2.83,443,9.11,25.8,2,q1_q17_dr25_tce,5455,4.467,0.927,291.93423,48.141651,15.347
3,10811496,0,19.89913995,175.850252,0.969,1.7822,10829,14.6,638,39.3,76.3,1,q1_q17_dr25_tce,5853,4.544,0.868,297.00482,48.134129,15.436
4,10848459,0,1.736952453,170.307565,1.276,2.40641,8079.2,33.46,1395,891.96,505.6,1,q1_q17_dr25_tce,5805,4.564,0.791,285.53461,48.28521,15.597
5,10854555,1,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406,926.16,40.9,1,q1_q17_dr25_tce,6031,4.438,1.046,288.75488,48.2262,15.509
6,10872983,1,11.09432054,171.20116,0.538,4.5945,1517.5,3.9,835,114.81,66.5,1,q1_q17_dr25_tce,6046,4.486,0.972,296.28613,48.22467,15.714
7,10872983,1,4.13443512,172.97937,0.762,3.1402,686,2.77,1160,427.65,40.2,2,q1_q17_dr25_tce,6046,4.486,0.972,296.28613,48.22467,15.714
8,10872983,1,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360,807.74,15,3,q1_q17_dr25_tce,6046,4.486,0.972,296.28613,48.22467,15.714
9,6721123,0,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342,767.22,47.7,1,q1_q17_dr25_tce,6227,3.986,1.958,298.86435,42.151569,12.66
10,10910878,1,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600,30.75,161.9,1,q1_q17_dr25_tce,5031,4.485,0.848,286.99948,48.37579,15.841
11,11446443,1,2.470613377,122.763305,0.818,1.74319,14231,13.04,1339,761.46,4304.3,1,q1_q17_dr25_tce,5820,4.457,0.964,286.80847,49.316399,11.338
12,10666592,1,2.204735417,121.3585417,0.224,3.88864,6674.7,16.1,2048,4148.92,5945.9,1,q1_q17_dr25_tce,6440,4.019,1.952,292.24728,47.969521,10.463
13,6922244,1,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521,1264.67,1741.5,1,q1_q17_dr25_tce,6225,4.169,1.451,281.28812,42.45108,13.563
14,10984090,1,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206,500.46,50.6,2,q1_q17_dr25_tce,5833,4.407,1.022,295.64871,48.49556,12.772
15,10419211,0,11.521446064,170.839688,2.483,3.6399,17984,150.51,753,75.88,622.1,1,q1_q17_dr25_tce,5795,4.554,0.848,297.07993,47.597401,15.472
16,10464078,0,19.40393776,172.484253,0.804,12.2155,8918.7,7.18,523,17.69,214.7,1,q1_q17_dr25_tce,5043,4.591,0.68,289.25821,47.635319,15.487
17,10480982,0,19.221388942,184.5521637,1.065,4.79843,74284,49.29,698,55.97,2317,1,q1_q17_dr25_tce,6117,4.496,0.947,295.81454,47.69035,15.341
18,10485250,0,16.46983774,180.881761,0.292,9.4378,10479,7.94,595,29.61,303.4,1,q1_q17_dr25_tce,5152,4.517,0.786,297.15442,47.668701,15.788
19,10526549,1,9.27358173,173.258155,0.387,3.2875,1288.3,2.47,649,41.85,87.2,1,q1_q17_dr25_tce,4856,4.583,0.696,288.13824,47.724449,15.302
20,10583066,1,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678,50.04,65.4,1,q1_q17_dr25_tce,4537,4.648,0.672,283.71088,47.86327,15.784
21,10583180,0,2.696370652,170.73769,0.044,3.6129,397.9,1.58,1066,305.34,48.2,1,q1_q17_dr25_tce,4989,4.504,0.819,283.76547,47.804298,15.269
22,10601284,1,5.349553819,171.80694,0.092,3.0278,831,2.55,919,168.99,60.6,1,q1_q17_dr25_tce,5185,4.44,0.91,292.37613,47.880989,15.416
23,10601284,1,3.94105221,136.08662,0.226,2.5984,363.3,1.7,1018,253.15,28.9,2,q1_q17_dr25_tce,5185,4.44,0.91,292.37613,47.880989,15.416
24,10601284,1,8.10904807,132.8031,0.025,3.596,217.4,1.3,800,97.03,14.1,3,q1_q17_dr25_tce,5185,4.44,0.91,292.37613,47.880989,15.416
25,2306756,0,386.6030528,166.342079,0.9765,6.8057,24927,41.5,297,1.84,994,1,q1_q16_tce,5543,4.081,1.58,292.27374,37.671558,12.394
26,10662202,1,21.67699193,171.53594,0.896,3.4555,857.2,2.95,530,18.64,34.3,1,q1_q17_dr25_tce,4954,4.5,0.828,290.46512,47.92918,15.377
27,10682541,1,4.99677968,171.74208,0.71,2.1717,934.7,2.78,917,166.95,28.2,1,q1_q17_dr25_tce,5339,4.552,0.847,297.80826,47.946671,15.861
28,11460018,1,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012,247.87,61.8,1,q1_q17_dr25_tce,5644,4.564,0.831,294.26581,49.314091,15.356
29,11463211,0,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452,1054.12,181.1,1,q1_q17_dr25_tce,5714,4.563,0.831,295.66522,49.351009,15.525
30,11465813,0,670.645531,209.04355,0.701,53.412,18091,14.14,196,0.35,642.7,1,q1_q17_dr25_tce,5520,4.466,0.983,296.69861,49.316479,15.207
31,11493732,0,61.2563628,173.83826,1.248,7.633,5123.3,39.87,505,15.43,85.3,1,q1_q17_dr25_tce,6144,4.402,1.091,283.72592,49.479519,15.25
32,11507101,1,38.3775486,172.82048,0.468,5.588,724.2,2.82,529,18.53,34.7,1,q1_q17_dr25_tce,5481,4.369,1.036,291.72202,49.480869,15.172
33,10910878,1,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439,8.76,51.2,2,q1_q17_dr25_tce,5031,4.485,0.848,286.99948,48.37579,15.841
34,10910878,1,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,823,108.3,47.1,3,q1_q17_dr25_tce,5031,4.485,0.848,286.99948,48.37579,15.841
35,10987985,1,16.01308419,176.3608,0.799,3.2554,1121.9,3.1,593,29.31,33.2,1,q1_q17_dr25_tce,5015,4.499,0.826,297.02563,48.478588,15.39
36,11018648,1,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506,15.55,80,1,q1_q17_dr25_tce,5586,4.56,0.798,285.71854,48.505859,15.082
37,11018648,1,91.7732862,193.8378,0.606,6.473,652,2.12,359,3.92,19.1,2,q1_q17_dr25_tce,5586,4.56,0.798,285.71854,48.505859,15.082
39,11152159,0,2.701287801,170.69579,1.016,3.3827,860.4,6.54,1222,527.81,48.3,1,q1_q17_dr25_tce,5550,4.468,0.91,297.92365,48.777321,15.54
40,11153539,1,4.49876511,171.34905,0.312,3.7362,460,2.1,1133,389.62,29.5,1,q1_q17_dr25_tce,6075,4.486,0.969,298.45685,48.791592,15.395
41,11242721,0,19.651209505,179.401981,0.723,5.2514,11766,12.42,730,67.03,513.4,1,q1_q17_dr25_tce,6074,4.391,1.063,291.0939,48.933842,15.536
42,9579641,1,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093,337.68,166.7,1,q1_q17_dr25_tce,5779,4.339,1.087,287.88733,46.276241,12.791
43,11304958,1,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,516,16.72,141.1,1,q1_q17_dr25_tce,5468,4.367,1.046,295.55505,49.017342,15.4
44,11391957,1,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,790,91.9,43.4,1,q1_q17_dr25_tce,5592,4.582,0.787,285.49924,49.277351,15.317
45,11403044,1,4.125543472,169.752585,0.597,3.1744,1487.3,4.43,1243,565.35,128.6,1,q1_q17_dr25_tce,6174,4.417,1.103,291.93616,49.253979,15.506
46,11414511,1,2.816504904,170.9676846,0.105,2.50587,16814,12.21,1219,521.13,1406.8,1,q1_q17_dr25_tce,5532,4.452,0.955,297.01547,49.225288,15.052
47,11442465,0,33.93373447,186.67608,0.812,14.561,8503.7,7.34,430,8.11,236.1,1,q1_q17_dr25_tce,5040,4.628,0.705,284.17233,49.360722,15.716
48,12110942,1,3.689920099,170.36571,0.151,2.6557,426.7,1.89,1147,408.99,35.6,1,q1_q17_dr25_tce,5880,4.518,0.917,291.62241,50.61824,15.242
49,12366084,1,4.431238488,171.015,0.405,3.15,1010.9,3.25,1104,351.23,71.1,1,q1_q17_dr25_tce,5714,4.428,1.015,295.81616,51.121738,15.367
50,12366084,1,11.37936986,133.84992,0.911,2.6255,1023.5,3.95,806,99.68,37.9,2,q1_q17_dr25_tce,5714,4.428,1.015,295.81616,51.121738,15.367
51,12404086,1,26.39432897,176.05459,0.602,3.573,1510.9,3.07,489,13.49,48.2,1,q1_q17_dr25_tce,5129,4.595,0.763,289.39972,51.25032,15.234
52,8395660,1,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785,89.61,88.4,1,q1_q17_dr25_tce,5854,4.406,1.012,300.86398,44.337551,12.882
53,9579641,1,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997,233.31,47.1,2,q1_q17_dr25_tce,5779,4.339,1.087,287.88733,46.276241,12.791
54,11656840,0,7.442652004,169.9717797,0.137,2.3078,24446,15.03,967,206.78,835.6,1,q1_q17_dr25_tce,6108,4.469,0.956,288.98682,49.733742,15.27
55,11754553,1,16.38489988,172.72782,0.001,3.0249,1127.1,2,433,8.35,28.9,2,q1_q17_dr25_tce,4126,4.661,0.615,286.73804,49.97575,15.095
56,11754553,1,7.8774163,176.3759,0.041,2.0805,1306.1,2.16,553,22.18,38.7,1,q1_q17_dr25_tce,4126,4.661,0.615,286.73804,49.97575,15.095
57,11754553,1,36.4454001,151.60125,0.028,4.007,1122.3,1.99,332,2.88,21.7,3,q1_q17_dr25_tce,4126,4.661,0.615,286.73804,49.97575,15.095
58,11812062,1,3.728732147,171.793255,0.558,2.683,5226.5,6.02,1023,258.34,345.2,1,q1_q17_dr25_tce,5497,4.577,0.809,290.78574,50.054119,15.523
60,11853255,1,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822,107.6,38.9,1,q1_q17_dr25_tce,4149,4.698,0.564,285.17621,50.149818,15.135
61,11909839,0,10.405998015,177.197466,0.324,6.5036,14489,11.23,833,113.94,745.2,1,q1_q17_dr25_tce,5746,4.393,0.924,289.23553,50.241001,15.562
62,11918099,1,2.337437946,171.761982,0.28,1.9982,971.2,2.34,1070,311.16,82.4,1,q1_q17_dr25_tce,5005,4.595,0.765,293.83331,50.23035,15.334
65,11923270,1,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396,5.82,71,1,q1_q17_dr25_tce,3688,4.79,0.473,296.22195,50.28722,15.937
66,11960862,1,6.575315881,173.634044,0.39,4.3084,2793.3,5.31,1015,251.38,221.1,1,q1_q17_dr25_tce,5992,4.415,0.989,290.09805,50.321609,15.312
67,12020329,1,7.275040844,169.994217,0.547,7.5377,3001,4.86,833,113.64,312.1,1,q1_q17_dr25_tce,5485,4.556,0.867,295.45529,50.49456,15.08
68,12066335,1,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393,5.66,37.1,1,q1_q17_dr25_tce,4077,4.702,0.56,293.97336,50.53191,15.385
69,12066335,1,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488,13.43,30.3,2,q1_q17_dr25_tce,4077,4.702,0.56,293.97336,50.53191,15.385
70,12070811,1,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677,49.68,35.8,1,q1_q17_dr25_tce,5557,4.603,0.75,296.02133,50.56778,15.505
71,8395660,1,43.84439721,151.93538,0.852,6.802,615.2,2.87,531,18.77,83.7,2,q1_q17_dr25_tce,5854,4.406,1.012,300.86398,44.337551,12.882
72,3120431,0,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032,268.67,39,1,q1_q17_dr25_tce,5295,4.551,0.811,292.31595,38.27029,15.629
74,3342970,1,2.711504086,170.03417,0.023,3.0099,837.5,3.12,1420,960.79,64.5,1,q1_q17_dr25_tce,6214,4.442,1.076,291.65353,38.494659,15.541
75,3342970,1,7.21203748,172.81782,0.012,4.0491,950.4,3.32,1025,260.58,51.5,2,q1_q17_dr25_tce,6214,4.442,1.076,291.65353,38.494659,15.541
76,12459725,0,14.1798187,171.50237,0.1601,2.505,459.9,1.88,711,60.35,11.2,,,5799,4.539,0.878,291.0448,51.321671,15.727
77,12470844,1,8.47237911,174.16212,0.022,2.7245,1123.5,2.59,751,75.44,47.6,1,q1_q17_dr25_tce,5354,4.587,0.788,296.36652,51.319519,15.339
78,12470844,1,60.4189369,181.16367,0.094,5.039,931.3,2.36,390,5.49,20.1,2,q1_q17_dr25_tce,5354,4.587,0.788,296.36652,51.319519,15.339
79,12644822,1,12.611904345,180.892284,0.55,5.1497,6105.6,7.4,753,76.15,277.2,1,q1_q17_dr25_tce,5795,4.508,0.919,289.11221,51.737381,15.14
80,2440757,0,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920,3209.29,112.6,1,q1_q17_dr25_tce,6017,4.22,1.339,290.84369,37.728828,15.122
81,2445129,0,10.31872301,173.31543,1.215,3.836,871.7,28.59,876,139.26,38.2,1,q1_q17_dr25_tce,5927,4.409,1.06,291.84891,37.713501,15.065
82,2713049,1,2.539183147,169.67494,0.238,2.4282,382.1,2.06,1332,743.09,38.9,1,q1_q17_dr25_tce,5519,4.35,1.062,291.43997,37.905659,15.026
83,3114167,1,6.770300385,170.57662,0.838,2.0844,1304,2.77,812,102.87,50.8,1,q1_q17_dr25_tce,5653,4.656,0.679,290.87051,38.273628,15.591
84,3114661,0,0.444291966,169.865406,1.258,2.0792,10967,27.51,1836,2706.26,299.7,1,q1_q17_dr25_tce,5255,4.678,0.636,290.99689,38.28492,15.748
86,4139816,1,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361,4,35.2,2,q1_q17_dr25_tce,3950,4.754,0.493,286.07913,39.27832,15.954
87,4139816,1,46.1842039,165.23729,0.013,4.758,1394.7,1.83,273,1.32,26,3,q1_q17_dr25_tce,3950,4.754,0.493,286.07913,39.27832,15.954
88,8395660,1,23.9800854,147.537,0.95,5.351,104,1.31,649,41.94,17.1,4,q1_q17_dr25_tce,5854,4.406,1.012,300.86398,44.337551,12.882
89,4139816,1,7.82502168,136.54995,0.708,2.186,520.8,1.2,494,14.05,15.9,4,q1_q17_dr25_tce,3950,4.754,0.493,286.07913,39.27832,15.954
90,4275191,1,3.895936525,170.527552,0.524,2.3111,8544.8,7.34,1005,241.62,370.8,1,q1_q17_dr25_tce,5557,4.592,0.774,294.65524,39.308361,15.725
91,4476123,1,22.36646466,175.45862,0.4,5.228,986.8,2.32,536,19.45,32.1,1,q1_q17_dr25_tce,5395,4.615,0.734,294.71063,39.52174,15.583
92,3351888,1,1.625522174,170.8266564,0.076,2.38963,7969,9.73,1579,1467.41,799.7,1,q1_q17_dr25_tce,5539,4.322,1.106,293.87192,38.422939,15.001
94,3554600,0,7.544039,171.7982,1.175,6.222,322.6,17.47,838,116.46,14.2,2,q1_q17_dr25_tce,5657,4.567,0.824,293.94116,38.601101,15.559
96,3734868,0,10.328035714,174.581054,0.281,7.7915,16918,13.28,843,119.31,636.8,1,q1_q17_dr25_tce,5627,4.359,1.024,287.69675,38.886452,15.646
97,3832474,1,143.2063047,154.23552,0.379,8.9302,10566,8.9,308,2.14,138.8,2,q1_q17_dr25_tce,5485,4.556,0.867,285.28363,38.947281,15.403
98,8395660,1,6.164876,135.63916,0.646,3.262,55.8,0.79,1021,256.35,14.4,3,q1_q17_dr25_tce,5854,4.406,1.012,300.86398,44.337551,12.882
99,3832474,1,60.32494216,243.892578,0.224,6.6188,20280,12.19,411,6.77,347.2,1,q1_q17_dr25_tce,5485,4.556,0.867,285.28363,38.947281,15.403
100,3832474,1,29.1598615,150.69922,0.3619,4.803,488,1.91,524,17.85,11.6,,,5485,4.556,0.867,285.28363,38.947281,15.403
101,3836375,0,1.540397253,170.50479,1.225,2.1541,816.1,25.69,1470,1105.68,38.8,1,q1_q17_dr25_tce,5663,4.53,0.915,286.92639,38.921631,15.974
102,3838486,0,2.99025443,171.9834,0.014,5.414,589.2,1.7,918,168.45,48.5,1,q1_q17_dr25_tce,4667,4.578,0.731,287.74881,38.92955,15.842
103,3935914,1,1.594745374,170.6483505,0.514,1.9604,15044,11.3,1539,1329.42,1009.3,1,q1_q17_dr25_tce,5934,4.491,0.893,285.21381,39.027481,15.53
105,4049131,1,20.50588921,181.43428,0.26,4.0595,2105.5,3.41,518,17.06,78.5,1,q1_q17_dr25_tce,4905,4.544,0.761,289.31543,39.153278,15.398
106,4139816,1,3.340218842,171.979062,0.466,1.9104,1632.6,2.03,656,43.73,71.6,1,q1_q17_dr25_tce,3950,4.754,0.493,286.07913,39.27832,15.954
107,5287983,0,2.507089906,171.002455,1.255,2.0067,1339.2,30.26,1326,730.47,64.9,1,q1_q17_dr25_tce,5926,4.506,0.939,295.37805,40.493401,15.555
108,5358241,1,18.64932728,174.771,0.08,4.4056,893.6,3.12,701,57.13,46.1,1,q1_q17_dr25_tce,5775,4.405,1.053,290.46176,40.562462,15.386
109,10875245,1,4.90144976,138.60548,0.529,4.1654,140.7,1.7,1262,598.74,50.6,3,q1_q17_dr25_tce,5847,4.191,1.402,297.02826,48.208611,12.487
110,5358241,1,9.75192101,138.78608,0.949,4.793,418,2.76,870,135.66,28.5,3,q1_q17_dr25_tce,5775,4.405,1.053,290.46176,40.562462,15.386
111,5358241,1,38.5576546,163.85063,0.911,5.794,993,4.02,550,21.71,39.7,2,q1_q17_dr25_tce,5775,4.405,1.053,290.46176,40.562462,15.386
112,5358624,1,3.525632539,170.0479951,0.12,2.59959,22335,11.58,975,213.12,1996.7,1,q1_q17_dr25_tce,5150,4.572,0.793,290.58173,40.5774,15.224
114,4664847,1,7.748094239,174.997206,0.517,3.5957,2472.1,5.52,964,204.39,113.2,1,q1_q17_dr25_tce,5973,4.439,1.085,294.4899,39.771439,15.67
115,4725681,1,23.96793669,186.22182,0.416,3.827,1182.3,1.8,329,2.77,27.5,1,q1_q17_dr25_tce,3747,4.728,0.524,283.86639,39.898079,15.414
116,4913852,1,8.11437482,176.33968,0.573,2.2736,1558,2.1,460,10.55,56.4,1,q1_q17_dr25_tce,3692,4.753,0.517,288.81201,40.033401,15.877
117,4932348,0,38.036729482,196.934947,0.501,4.34617,82872,27.5,500,14.81,1300,1,q1_q17_dr25_tce,5575,4.521,0.932,294.14789,40.055538,15.472
118,4936180,0,4.64090031,173.64638,1.28,35.512,2450.6,30.09,1155,421.08,296.9,1,q1_q17_dr25_tce,6463,4.5,0.826,295.11371,40.071171,15.27
119,11913073,0,3.747838198,171.66504,1.121,5.0642,616,13.65,1031,266.76,138.2,1,q1_q17_dr25_tce,5514,4.569,0.826,291.06152,50.265129,13.496
120,10875245,1,14.74914825,138.77799,0.173,6.0995,430.2,2.89,874,137.91,107.4,1,q1_q17_dr25_tce,5847,4.191,1.402,297.02826,48.208611,12.487
121,5021899,1,21.81295996,174.01085,0.053,4.3791,1175.4,3.38,639,39.33,37.8,1,q1_q17_dr25_tce,5601,4.41,0.999,294.77686,40.15374,15.54
122,5077629,0,7.91936937,172.181092,0.733,3.3148,15148,10.34,814,104,389,1,q1_q17_dr25_tce,5690,4.588,0.776,283.53845,40.217999,15.805
124,5164255,1,15.37562369,173.61402,0.692,3.3169,15337,11.01,600,30.54,166,1,q1_q17_dr25_tce,4986,4.496,0.833,283.25354,40.358189,16.422
125,5252423,1,8.10363271,176.9486,0.047,3.161,887.9,2.11,687,52.82,39.3,1,q1_q17_dr25_tce,4861,4.574,0.732,283.22141,40.421829,15.289
126,5252423,1,4.71510843,134.96178,0.258,2.506,417.5,1.46,823,108.84,21.3,2,q1_q17_dr25_tce,4861,4.574,0.732,283.22141,40.421829,15.289
127,5272878,1,6.365839713,171.13575,0.524,2.9721,780.7,2.44,914,165.33,70.8,1,q1_q17_dr25_tce,5776,4.554,0.849,291.14951,40.420521,15.09
128,5283542,0,5.97581754,174.77602,0.941,3.065,962.4,3.86,1047,284.25,50.3,1,q1_q17_dr25_tce,6108,4.471,0.997,294.22397,40.417858,15.546
129,5649215,0,2.446737317,170.66951,1.241,4.7211,1177.9,26.25,1261,597.19,110.2,1,q1_q17_dr25_tce,5764,4.548,0.863,298.96112,40.862808,15.021
130,5651104,1,3.04033046,169.9490106,0.736,1.8411,10859,8.99,1021,257.29,568.2,1,q1_q17_dr25_tce,5035,4.519,0.791,299.3161,40.82238,15.028
131,5792202,1,15.33528675,174.00278,0.773,3.897,3081.4,5,610,32.67,86.6,2,q1_q17_dr25_tce,5251,4.581,0.817,292.23676,41.08588,15.855
132,10875245,1,7.95825328,137.80219,0.706,4.377,50,1.06,1074,314.15,14.7,4,q1_q17_dr25_tce,5847,4.191,1.402,297.02826,48.208611,12.487
133,5792202,1,31.33046135,153.43031,0.798,5.176,5073.8,6.5,481,12.61,117.2,1,q1_q17_dr25_tce,5251,4.581,0.817,292.23676,41.08588,15.855
134,5370302,0,3.9043425,173.393734,0.709,3.831,16228,12.28,1104,351.05,323.4,1,q1_q17_dr25_tce,5810,4.526,0.898,294.05676,40.549679,15.016
135,5372966,0,9.286358079,171.8214689,0.377,3.49949,44791,17.61,796,95.03,1671.1,1,q1_q17_dr25_tce,5670,4.523,0.821,294.74396,40.53392,15.365
136,5376067,0,3.951405455,173.276125,1.276,2.1862,2453.9,31.44,1133,388.71,117.2,1,q1_q17_dr25_tce,6046,4.539,0.869,295.50439,40.505489,15.446
137,5436502,1,23.65369415,171.376107,0.008,8.2183,3341.8,7.89,731,67.65,266.3,1,q1_q17_dr25_tce,5739,4.191,1.384,287.89713,40.637821,15.084
138,5436502,1,13.23352214,140.32196,0.014,6.7372,504.6,3.06,888,146.67,49.1,2,q1_q17_dr25_tce,5739,4.191,1.384,287.89713,40.637821,15.084
139,5436502,1,6.15560285,134.81656,0.235,4.9843,285,2.32,1146,406.94,35.1,3,q1_q17_dr25_tce,5739,4.191,1.384,287.89713,40.637821,15.084
140,5436502,1,2.090811305,134.17462,0.746,3.388,115.9,1.62,1642,1718.04,19.9,5,q1_q17_dr25_tce,5739,4.191,1.384,287.89713,40.637821,15.084
141,10875245,1,3.180027898,133.49863,0.196,3.5797,120.3,1.53,1458,1066.86,50.4,2,q1_q17_dr25_tce,5847,4.191,1.402,297.02826,48.208611,12.487
142,5436502,1,50.4467417,178.5014,0.379,7.159,370.3,2.67,568,24.64,19.4,4,q1_q17_dr25_tce,5739,4.191,1.384,287.89713,40.637821,15.084
143,5456651,1,11.76307164,180.93613,0.048,2.9076,1037.3,2.35,616,33.99,48.9,1,q1_q17_dr25_tce,4959,4.603,0.756,294.20215,40.66341,15.208
144,5456651,1,56.2279271,132.29259,0.7,3.57,862.7,2.37,366,4.22,20.9,2,q1_q17_dr25_tce,4959,4.603,0.756,294.20215,40.66341,15.208
145,5481416,0,2.384052875,171.58362,1.178,3.0918,1268.1,17.06,1010,244.87,50.5,1,q1_q17_dr25_tce,4794,4.58,0.701,299.64285,40.691238,15.836
146,5531576,1,7.953547,174.66224,0.3,2.6312,875.4,2.25,696,55.37,38.4,1,q1_q17_dr25_tce,4768,4.536,0.779,291.15878,40.750271,15.66
147,5531576,1,4.14451656,135.92831,0.004,2.3421,391.8,1.48,864,132.08,22.8,2,q1_q17_dr25_tce,4768,4.536,0.779,291.15878,40.750271,15.66
148,5534814,0,4.859386384,173.011469,1.259,2.2757,6044.3,38.33,1114,364.23,269.7,1,q1_q17_dr25_tce,6072,4.47,0.988,292.21436,40.759762,15.311
149,6291653,1,10.526294577,176.522462,0.644,2.5211,9768,8.24,713,61.16,482.3,1,q1_q17_dr25_tce,5386,4.553,0.793,293.87811,41.66177,15.305
150,6392727,1,4.583520948,169.973972,0.045,2.7055,3812.1,5.39,1038,274.98,99.5,1,q1_q17_dr25_tce,5815,4.54,0.877,299.18686,41.74268,15.287
151,6422070,1,3.76181843,171.90364,0.926,3.5176,510.6,2.66,1121,372.62,35.9,1,q1_q17_dr25_tce,5653,4.472,0.949,283.31638,41.83712,15.257
152,6428700,1,8.20396958,169.69138,0.823,2.9667,1024.4,3.01,742,71.5,54.4,1,q1_q17_dr25_tce,5015,4.499,0.826,286.5657,41.808399,15.376
153,6428700,1,14.49645186,143.41659,0.97,4.016,647.5,3.01,613,33.48,25.7,2,q1_q17_dr25_tce,5015,4.499,0.826,286.5657,41.808399,15.376
155,5794379,1,12.71809866,175.35526,0.427,3.0957,1149.4,2.31,562,23.6,52.7,1,q1_q17_dr25_tce,4702,4.592,0.686,292.91312,41.060921,15.389
156,5794379,1,36.06588163,198.58423,0.26,4.3246,1563.8,2.64,397,5.88,51.7,2,q1_q17_dr25_tce,4702,4.592,0.686,292.91312,41.060921,15.389
157,5881688,1,4.190425659,171.44122,0.458,2.8589,2877.4,6.21,1234,547.9,240.6,1,q1_q17_dr25_tce,6073,4.392,1.135,293.49661,41.137589,15.27
158,6022556,1,3.709870784,171.987982,0.023,3.0694,2020.3,4.35,1151,415.1,116.1,1,q1_q17_dr25_tce,5727,4.463,0.978,283.86441,41.346458,15.581
159,6032497,1,16.3297527,177.29506,0.791,6.271,1187.5,3.75,727,66.08,74.6,1,q1_q17_dr25_tce,5878,4.444,0.987,288.51001,41.301769,15.447
160,6061119,1,27.807566216,186.713552,0.782,4.21587,25391,13.84,554,22.24,748.1,1,q1_q17_dr25_tce,5862,4.584,0.785,296.88821,41.396091,15.482
161,6191521,1,80.8723469,203.895,0.527,11.195,3604.6,7.59,452,9.88,160.9,1,q1_q17_dr25_tce,5510,4.222,1.238,287.1543,41.565788,15.201
162,6267425,0,3.166465862,172.002627,1.266,2.9381,4357.2,26.82,954,196.31,122.1,1,q1_q17_dr25_tce,4968,4.575,0.704,284.86929,41.679192,15.999
163,3531558,1,24.99324319,138.68167,0.686,5.9409,269.6,2.29,712,60.88,62,1,q1_q17_dr25_tce,5718,4.181,1.317,287.36279,38.649601,12.377
164,6276477,1,10.35533116,170.93729,0.029,3.1775,750.6,2.47,777,86.22,49.2,1,q1_q17_dr25_tce,5501,4.462,0.918,288.9942,41.633282,15.018
165,6863998,1,16.08518937,180.28319,0.867,3.984,1442.4,3.68,613,33.43,62.6,1,q1_q17_dr25_tce,5239,4.523,0.826,292.10519,42.380322,15.219
167,6948054,1,7.49018305,174.95037,0.02,2.7297,1123.6,2.56,753,76.06,53,1,q1_q17_dr25_tce,5103,4.562,0.787,291.63898,42.436321,15.599
168,6948054,1,36.2761238,201.2869,0.035,4.7865,1572.6,3.03,445,9.29,45.5,2,q1_q17_dr25_tce,5103,4.562,0.787,291.63898,42.436321,15.599
169,6948054,1,17.46087931,137.26594,0.594,2.2641,812.4,2.32,568,24.6,22.6,4,q1_q17_dr25_tce,5103,4.562,0.787,291.63898,42.436321,15.599
170,6435936,1,56.0560754,201.16578,0.018,4.685,1626,1.94,233,0.69,27.4,1,q1_q17_dr25_tce,3593,4.757,0.491,289.50848,41.812119,15.849
171,6522242,1,41.408316686,195.78745,0.377,5.0264,22839,11.38,453,9.93,907.8,1,q1_q17_dr25_tce,5522,4.586,0.747,291.76041,41.944069,15.196
173,6587280,1,5.715425977,174.87931,0.348,2.5242,908.1,2.47,850,123.03,59.4,1,q1_q17_dr25_tce,5237,4.572,0.826,285.11047,42.033958,15.086
174,9471974,1,49.18394185,141.911924,0.035,11.3364,1646.2,8.2,669,47.4,355.7,1,q1_q17_dr25_tce,5626,3.907,2.057,294.55917,46.062328,12.654
175,6587280,1,20.0261412,146.91109,0.957,1.611,421.2,2.28,559,23.14,10.7,2,q1_q17_dr25_tce,5237,4.572,0.826,285.11047,42.033958,15.086
